assigned_bin,gvkey,firm,k_mean,k_sd,inv_rate_mean,inv_rate_sd,cash_flow_mean,cash_flow_sd,q_mean,q_sd,observations
1,004279,EMS Technologies Inc.,63.43748275862069,37.05186244270194,0.18345029685343972,0.16456365352745725,0.12249839248990436,0.053288009066660785,0.8854489460260039,1.568859252880889,29
2,001860,Atwood Oceanics Inc.,343.63041379310346,255.44905366383966,0.11840415732834406,0.11175115500329044,0.14283809266676759,0.1033944524062962,0.297389937866975,0.7311433254312033,29
3,010983,Raytheon Technologies Corp.,9296.607827586206,3211.9410736002105,0.10128867925612199,0.0344532926237787,0.09814230074600953,0.02796772843392575,0.09222685393805989,0.9747155641443461,29
